# Region = CEP
index  ra  dec  j  h  k  ch1  ch2  ch3  ch4  m24  uj  uh  uk  uch1  uch2  uch3  uch4  um24  ak  class
21361  345.84715  61.491614  -100.000  -100.000  -100.000  14.1610  12.7731  11.7901  10.8394  6.61452  10.0000  10.0000  10.0000  0.0108973  0.00675409  0.0156117  0.0185360  0.0265994  0.00000  1
47773  345.78318  61.703375  -100.000  -100.000  15.0090  12.1624  10.8889  10.0212  9.29647  4.40205  10.0000  10.0000  0.129000  0.00697463  0.00351899  0.00871911  0.0370473  0.0437249  0.00000  1
48434  345.80329  61.707148  -100.000  -100.000  -100.000  10.9705  8.66610  7.15759  5.85072  0.339035  10.0000  10.0000  10.0000  0.0287197  0.0134139  0.00795311  0.00386402  0.00302320  0.00000  1
55341  345.69287  61.755775  -100.000  -100.000  14.9180  12.6314  11.8195  11.0457  10.2335  6.08843  10.0000  10.0000  0.115000  0.00631762  0.00462995  0.00823568  0.0139942  0.0190345  0.00000  1
61843  345.36851  61.805569  -100.000  -100.000  -100.000  14.0640  12.3125  10.9177  9.98543  4.66701  10.0000  10.0000  10.0000  0.0118490  0.00708432  0.00937148  0.0124057  0.00656310  0.00000  1
62036  345.92733  61.793664  14.2200  12.8610  11.7400  9.78874  9.00674  8.22005  7.31532  -100.000  0.0460000  0.0490000  0.0450000  0.00778080  0.00881184  0.0158314  0.0369004  10.0000  0.299239  1
62350  345.92551  61.795837  -100.000  -100.000  13.7110  9.61092  8.43200  7.21011  6.38746  2.26902  10.0000  10.0000  0.0620000  0.00448799  0.00342564  0.00161986  0.00200619  0.00198059  0.00000  1
76864  346.30242  61.878193  -100.000  -100.000  -100.000  12.5350  11.2340  10.1949  9.32640  5.39275  10.0000  10.0000  10.0000  0.00593892  0.00366127  0.00480789  0.00373965  0.00381015  0.00000  1
77804  344.93761  61.915787  -100.000  -100.000  -100.000  14.6546  13.5892  12.7138  11.8478  8.28625  10.0000  10.0000  10.0000  0.0465196  0.0288695  0.0250300  0.0395700  0.0354538  0.00000  1
78692  345.69762  61.905552  -100.000  -100.000  -100.000  12.8433  11.3896  10.0415  9.15661  4.08801  10.0000  10.0000  10.0000  0.0108398  0.00464138  0.00558525  0.00645267  0.00259730  0.00000  1
82496  345.63429  61.929912  -100.000  -100.000  -100.000  12.9523  11.5821  10.6629  9.61936  4.26416  10.0000  10.0000  10.0000  0.00647205  0.00376553  0.00695475  0.00737595  0.00236741  0.00000  1
83311  346.15932  61.921623  -100.000  -100.000  -100.000  14.6232  13.6595  12.4857  11.2397  7.29566  10.0000  10.0000  10.0000  0.0220168  0.0112173  0.0422984  0.0526968  0.0611971  0.00000  1
84789  344.54849  61.964299  -100.000  -100.000  -100.000  14.0008  12.7044  11.7348  10.8932  -100.000  10.0000  10.0000  10.0000  0.0473360  0.0358999  0.0287747  0.0366239  10.0000  0.00000  1
84852  344.71503  61.962128  14.4430  13.1080  11.5460  9.32767  8.59888  -100.000  -100.000  -100.000  0.0500000  0.0450000  0.0290000  0.00213896  0.00240395  10.0000  10.0000  10.0000  0.00000  1
86016  344.55453  61.971774  -100.000  -100.000  -100.000  13.4477  12.5497  11.6958  10.6712  7.06460  10.0000  10.0000  10.0000  0.00975725  0.00741047  0.0162220  0.0137251  0.0460917  0.00000  1
88920  344.10029  61.994946  -100.000  15.7660  14.8930  12.7914  11.8865  11.1045  9.87091  6.05075  10.0000  0.175000  0.133000  0.00603883  0.00536768  0.0124764  0.0333736  0.0474166  0.00000  1
89195  344.11847  61.996492  -100.000  -100.000  14.2000  12.3289  11.3452  10.6369  9.67700  6.40056  10.0000  10.0000  0.0740000  0.00461190  0.00370616  0.00951164  0.0307461  0.0445329  0.00000  1
92747  344.14910  62.016586  -100.000  -100.000  -100.000  13.5145  12.6467  11.8806  11.1643  -100.000  10.0000  10.0000  10.0000  0.0153366  0.0140147  0.0281117  0.0574578  10.0000  0.00000  1
92917  344.07402  62.018641  -100.000  -100.000  -100.000  14.0710  12.8882  11.8430  11.2382  -100.000  10.0000  10.0000  10.0000  0.0379299  0.0679974  0.0929409  0.0960511  10.0000  0.00000  1
93501  344.79220  62.011207  -100.000  -100.000  -100.000  14.4150  13.3079  11.9917  10.6359  6.98999  10.0000  10.0000  10.0000  0.0126759  0.00887604  0.0167445  0.0125440  0.0210452  0.00000  1
93510  344.07457  62.021603  -100.000  -100.000  -100.000  13.5443  12.0106  10.9171  10.6118  -100.000  10.0000  10.0000  10.0000  0.126806  0.121437  0.142746  0.0997851  10.0000  0.00000  1
93727  344.02926  62.023406  -100.000  -100.000  -100.000  13.4216  12.4602  11.6243  10.8195  -100.000  10.0000  10.0000  10.0000  0.118116  0.0620081  0.0622246  0.0834263  10.0000  0.00000  1
93946  344.08394  62.023948  -100.000  16.1680  12.7250  10.8396  9.84444  9.11893  8.56365  -100.000  10.0000  0.272000  0.0390000  0.0425904  0.0484934  0.0738884  0.0510805  10.0000  0.00000  1
94735  344.08414  62.028185  -100.000  -100.000  -100.000  10.1117  8.53426  7.70883  7.23744  -100.000  10.0000  10.0000  10.0000  0.0454766  0.0558998  0.0537959  0.0592677  10.0000  0.00000  1
95834  344.08729  62.034515  -100.000  12.5970  9.96300  8.11136  6.85213  6.09723  5.46445  -100.000  10.0000  0.120000  0.0740000  0.127990  0.0836874  0.0809853  0.0500265  10.0000  1.98854  1
96148  343.95216  62.037667  -100.000  -100.000  14.9320  13.5490  12.0385  10.8355  10.0860  -100.000  10.0000  10.0000  0.152000  0.0157238  0.00555837  0.0543320  0.115336  10.0000  0.00000  1
96532  343.92347  62.040081  -100.000  -100.000  -100.000  13.5777  12.8051  12.0014  10.8657  6.85048  10.0000  10.0000  10.0000  0.0153664  0.00779769  0.0433870  0.0754310  0.117958  0.00000  1
96918  344.07427  62.040624  -100.000  -100.000  -100.000  11.1750  9.78708  8.90601  8.22707  -100.000  10.0000  10.0000  10.0000  0.0926113  0.0683164  0.0800497  0.0454818  10.0000  0.00000  1
106020  344.23008  62.087829  -100.000  -100.000  -100.000  13.7732  12.8551  12.1464  11.2113  -100.000  10.0000  10.0000  10.0000  0.0244416  0.0103910  0.0813687  0.185674  10.0000  0.00000  1
124001  343.27300  62.183856  15.4910  13.6190  11.9490  9.19514  8.21856  7.29993  6.37788  2.69209  0.0710000  0.0380000  0.0210000  0.00313509  0.00216619  0.00435422  0.0108806  0.0251381  0.607606  1
127224  342.70093  62.200734  -100.000  -100.000  -100.000  14.1307  13.2827  12.4693  11.3539  6.32180  10.0000  10.0000  10.0000  0.0159394  0.0117808  0.0393926  0.0644228  0.0267343  0.00000  1
130086  343.47558  62.209256  -100.000  -100.000  15.0510  11.8898  10.0550  8.72938  7.72514  2.85899  10.0000  10.0000  0.153000  0.00731140  0.00442326  0.00446816  0.00555146  0.0105549  0.00000  1
130842  342.54523  62.216119  -100.000  -100.000  -100.000  14.4742  13.5574  12.7477  11.7118  8.12061  10.0000  10.0000  10.0000  0.0139524  0.0119895  0.0306708  0.0370946  0.0437246  0.00000  1
132982  343.38953  62.221897  13.6300  12.1290  11.2770  10.4631  9.66581  8.90833  7.51628  4.07549  0.0240000  0.0250000  0.0200000  0.00296776  0.00237095  0.00427617  0.00771781  0.0332689  0.771538  1
133917  343.54188  62.224417  -100.000  -100.000  -100.000  15.1224  13.7868  12.7361  11.5887  8.29593  10.0000  10.0000  10.0000  0.0285006  0.0184559  0.0449637  0.0858978  0.635769  0.00000  1
134780  343.44909  62.228700  14.9430  12.6490  11.3000  10.2577  9.41978  8.56825  7.51658  3.80873  0.0420000  0.0270000  0.0180000  0.00174221  0.00252044  0.00242785  0.00358223  0.0240037  1.57144  1
137237  344.74948  62.222412  -100.000  -100.000  -100.000  13.9196  13.0764  12.2108  11.2487  7.73103  10.0000  10.0000  10.0000  0.0106618  0.00794794  0.0177715  0.0153183  0.0526092  0.00000  1
149601  342.64394  62.284978  -100.000  15.7610  13.7710  11.7582  10.8291  9.98521  8.86545  5.13167  10.0000  0.171000  0.0530000  0.00407522  0.00341236  0.00485696  0.00313366  0.00459957  1.49693  1
151537  343.29444  62.288733  -100.000  13.7860  11.3590  8.64247  7.31693  6.03220  4.99017  1.25021  10.0000  0.0470000  0.0250000  0.00267474  0.00267467  0.00109616  0.00110742  0.00171684  1.28064  1
157385  348.39800  62.181909  -100.000  -100.000  -100.000  13.8968  12.8371  11.9404  10.8030  6.94347  10.0000  10.0000  10.0000  0.0109348  0.00619147  0.0154724  0.0270496  0.0408698  0.00000  1
158592  342.91245  62.312899  -100.000  -100.000  -100.000  13.6130  12.7536  11.9485  11.2144  7.08768  10.0000  10.0000  10.0000  0.00887488  0.00805170  0.0234522  0.0439670  0.0243566  0.00000  1
158860  346.84006  62.244793  -100.000  -100.000  15.1430  14.0161  13.1717  12.1629  10.4468  6.28395  10.0000  10.0000  0.144000  0.0101759  0.00771798  0.0182141  0.0115549  0.0266805  0.00000  1
